Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"Hailie's Normal mapped by Chanyah",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Normal của Hailie đã được Chanyah ánh xạ","Automation","Normal Hailie dipetakan oleh Chanyah","Automation","Normal di Hailie mappato da Chanyah","Automation","Normal de Hailie mapeado por Chanyah","Automation","Hailie's Normal mapeado por Chanyah","Automation","Normal de Hailie cartographié par Chanyah","Automation","Hailies Normal wurde von Chanyah zugeordnet","Automation","Hailie的普通被Chanyah映射","Automation","ChanyahがマッピングしたHailieのノーマル","Automation","Chanyah가 Hailie의 Normal을 매핑했습니다.","Automation","Chanyah отобразил Hailie's Normal","Automation","Hailie's Normal ถูกแมปโดย Chanyah","Automation","Chanyah tarafından eşlenen Hailie's Normal","Automation","Chanyah 映射了 Hailie's Normal","Automation","Normalność Hailie'ego zmapowana przez Chanyah","Automation"
,,"Playing Kano - Prima Stella [Caged]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Kano - Prima Stella [Bị giam]","Automation","Memainkan Kano - Prima Stella [Terkurung]","Automation","Giocando a Kano - Prima Stella [Incarcerata]","Automation","Jugando a Kano - Prima Stella [Encerrada]","Automation","Jogando Kano - Prima Stella [Enjaulada]","Automation","Jouer à Kano - Prima Stella [Enfermé]","Automation","Kano - Prima Stella spielen [Eingesperrt]","Automation","正在游玩卡诺 - 普里马星空 [被关起来]","Automation","カノ - プリマ・ステラ [檻入り]を再生中","Automation","카노 - 프리마 스텔라 [가두기] 플레이 중","Automation","Играем в Kano - Prima Stella [В камере]","Automation","กำลังเล่น Kano - Prima Stella [Caged]","Automation","Kano - Prima Stella'yı Oynuyorsunuz - Tutsak","Automation","正在游玩卡诺 - 普里马星空[被关起来]","Automation","Graszam w Kano - Prima Stella [W pułapce]","Automation"
,,"C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Anxient handsome Bonzi Kanari",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.MetaData.Tags.Data","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Anxient đẹp trai Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Sisi Cemas tampan Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} CamelCamellia cametek -kevincela- Azer wa_ Lato ansioso bello Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Lado ansioso apuesto Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} CamelCamellia cametek -kevincela- Azer wa_ Lado Ansioso Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} CamelCamellia cametek -kevincela- Azer wa_ Côté anxieux beau Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Angst gut aussehende Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side焦虑英俊的Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Anxient handsome Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} 카멜카멜리아 cametek -kevincela- Azer wa_ 사이드 불안한 잘생긴 Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Боковой тревожный красивый Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Ansient handsome Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Yan Kaygılı yakışıklı Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side焦虑英俊的Bonzi Kanari","Automation","C{number1} Comiket {number2} CTCD-{number3} KamelCamellia cametek -kevincela- Azer wa_ Side Anxient przystojny Bonzi Kanari","Automation"
,,"Playing DECO*{number1} - First Storm -Japanese Version- [Dakini's Insane]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus",,,,,"Giocando a DECO*{number1} - Prima Tempesta -Versione Giapponese- [Dakini's Insane]","Automation","Jugando a DECO*{number1} - Primera tormenta -Versión japonesa- [Dakini's Insane]","Automation","Jogando DECO*{number1} - Primeira Tempestade -Versão Japonesa- [Dakini's Insane]","Automation",,,,,"正在游玩装扮模式*{number1} - 第一场风暴 - 日本版 - 达基尼的疯狂","Automation","DECO*{number1} - First Storm -ジャパン版- [Dakini's Insane]をプレイ中","Automation","DECO*{number1} - First Storm -일본 버전- [Dakini's Insane] 플레이 중","Automation","Играем в DECO*{number1} - Первая буря -Японская версия- [Дakini's Insane]","Automation","กำลังเล่น DECO*{number1} - พายุครั้งแรก - ฉบับญี่ปุ่น- [Dakini's Insane]","Automation",,,"正在游玩《DECО*{number1} - 第一场风暴 - 日本版》 - 达基尼的疯狂","Automation",,
,,"ァ儿七千ग アルセチカ arusechika aruseee kakeyan kakeyan{number1} japanese pop jpop j-pop Irin Addy{number2} Addy Battle kanor Good bye Goodbye declaration decleration v-flower vflower v flower vocaloid ボーカロイド vocasynth female vocal",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.MetaData.Tags.Data","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} Nhạc pop Nhạc Nhật Bản Nhạc J-pop Nhạc J-pop Irin Addy{number2} Addy Battle kanor Tạm biệt Tạm biệt tuyên bố tuyên bố v-hoa v-hoa nữ ca sĩ","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} Jepang pop musik pop musik J-pop Irin Addy{number2} Addy Battle kanor Selamat tinggal Selamat jalan deklarasi deklarasi v-bunga v-bunga vokaloid vokaloid wanita vokal","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} giapponese pop jpop j-pop Irin Addy{number2} Addy Battaglia kanor Addio Addio dichiarazione dichiarazione v-fiore v-fiore voce vocale femminile","Automation","Afar七千g Alsechika arusechika aruseee kakeyan kakeyan{number1} Japonés pop jpop j-pop Irin Addy{number2} Addy declaración declaración v-flor vflor v flor vocaloid ボーカロイド vocasynth mujer vocal","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} japonês pop j-pop j-pop Irin Addy{number2} Addy Declaração Declaração V-Flor V-Flor Vocalóide Vocaloida Feminina","Automation","А儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} Japonais pop musique pop j-pop Irin Addy{number2} Addy combat kanor Au revoir Au revoir déclaration déclaration V-fleur V-fleur vocale","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} Japanischer Pop J-Pop J-Pop Irin Addy{number2} Addy Kampf kanor Auf Wiedersehen Abschiederklärung Abschiedserklärung V-Blume V-Blume Vokaloid Vokaloid-Frau Vokalstimme","Automation",,,"ァ儿七千г アルセチカ arusechika aruseee かけやん かけやん{number1} 日本ポップ 日本ポップ音楽 アイリン アディー バトル カノー グッドバイ グッドバイ宣言 デクラレーション Vフラワー Vフラワー ボーカロイド ボカシンス 女性ボーカリスト","Automation","ァ儿七千г アルセチカ arusechika aruseee 카เกยن 카เกยن{number1} 일본 팝 팝 팝 아이рин 애디 애디 선언 선언 V-플라워 V플라워 V 플라워 보컬","Automation","Арсетика, Арусетика, Арусея, Какеян, Какеян, Ирин, Адди, Аддия, В-флор, В-флора, В-музыка, В-песня","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} ญี่ปุ่น เพลง pop เพลงญี่ปุ่น เพลงเกาหลี เพลงอเมริกา เพลงไทย เพลงอังกฤษ เพลงญี่ปุ่น เพลงญี่ปุ่น เพลงญี่ปุ่น เพลงญี่ปุ่น เพลงญี่","Automation","ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} Japonya pop müziği j-pop müziği Irin Addy{number2} Addy Savaşı kanor V Çiçek V Çiçek Vokal Vokaloid Kadın","Automation",,,"ァ儿七千г アルセチカ arusechika aruseee kakeyan kakeyan{number1} japońska muzyka popowa j-popowa Irin Addy{number2} Addy Walka kanor Do widzenia do pożegnania deklaracja deklaracja v-kwiat v-kwiat wokal wokalka","Automation"
,,"mapset by KwAIMSuckASFuk",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi KwAIMSuckASFuk","Automation","set peta oleh KwAIMSuckASFuk","Automation","mapset di KwAIMSuckASFuk","Automation","mapa por KwAIMSuckASFuk","Automation","mapset por KwAIMSuckASFuk","Automation","mapset par KwAIMSuckASFuk","Automation","mapset von KwAIMSuckASFuk","Automation","mapset 制作:KwAIMSuckASFuk","Automation","マップセット:KwAIMSuckASFuk","Automation","맵 세트 제작: KwAIMSuckASFuk","Automation","набор карт от KwAIMSuckASFuk","Automation","แผนที่โดย KwAIMSuckASFuk","Automation","harita seti: KwAIMSuckASFuk","Automation","mapset 由 KwAIMSuckASFuk 製作","Automation","zestaw map autorstwa KwAIMSuckASFuk","Automation"
,,"Wonderful World! mapped by lushifer",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","Thế giới tuyệt vời! được lập bản đồ bởi lushifer","Automation","Dunia Luar Biasa! dipetakan oleh lushifer","Automation","Mondo Meraviglioso! mappato da lushifer","Automation","¡Mundo Maravilloso! mapeado por lushifer","Automation","Mundo Maravilhoso! mapeado por lushifer","Automation","Monde merveilleux! cartographié par lushifer","Automation","Wunderbare Welt! kartografiert von lushifer","Automation","奇妙世界!由lushifer映射","Automation","ワンダフルワールド! lushiferによってマッピング","Automation","멋진 세계! lushifer가 맵핑","Automation","Чудесный мир! на карте lushifer","Automation","โลกที่ยอดเยี่ยม! mapped โดย lushifer","Automation","Harika Dünya! lushifer tarafından haritalandı","Automation","奇妙世界!由 lushifer 映射","Automation","Wspaniały Świat! zmapowany przez lushifer","Automation"
,,"schoolboy's Expert mapped by schoolboy",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Chuyên gia của học sinh được lập bản đồ bởi học sinh","Automation","Pakar anak sekolah dipetakan oleh anak sekolah","Automation","Esperto dello scolaro mappato dallo scolaro","Automation","Experto de colegial mapeado por colegial","Automation","Especialista do estudante mapeado pelo estudante","Automation","L'expert de l'écolier cartographié par l'écolier","Automation","Experte des Schülers, der vom Schüler zugeordnet wurde","Automation","小学生专家被小学生映射","Automation","スクールボーイのエキスパートがスクールボーイによってマッピングされました","Automation","학생의 전문가가 학생에 의해 맵핑되었습니다","Automation","Эксперт школьника нанесен на карту школьником","Automation","ผู้เชี่ยวชาญของเด็กนักเรียนถูกทําแผนที่โดยเด็กนักเรียน","Automation","okul çocuğunun Uzmanı okul çocuğu tarafından haritalandı","Automation","學童的專家被學童映射","Automation","Ekspert ucznia zmapowany przez ucznia","Automation"
,,"Playing LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Bermain LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Giocando a LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Jugando a LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Jogando LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Jouer à LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","LilDeuceDeuce spielen - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","正在播放 LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","LilDeuceDeuceをプレイ中 - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","LilDeuceDeuce 플레이 중 - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Играя в LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","กําลังเล่น LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard] çalıyor","Automation","正在播放 LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation","Grając LilDeuceDeuce - EVERYBODY DO THE FLOP (Cut Ver.) [Aakki's Hard]","Automation"
,,"Playing Coda - BLOODY STREAM (TV Size) [Bloody]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi Coda - BLOODY STREAM (Kích thước TV) [Bloody]","Automation","Bermain Coda - BLOODY STREAM (Ukuran TV) [Darah]","Automation","Giocando Coda - BLOODY STREAM (dimensioni TV) [Bloody]","Automation","Jugando Coda - BLOODY STREAM (Tamaño TV) [Bloody]","Automation","Jogando Coda - BLOODY STREAM (Tamanho da TV) [Bloody]","Automation","Jouer à Coda - BLOODY STREAM (TV Size) [Bloody]","Automation","Coda abspielen - BLOODY STREAM (TV-Größe) [Blutig]","Automation","正在播放Coda - BLOODY STREAM(电视尺寸)[血腥]","Automation","コダをプレイ中 - BLOODY STREAM (TVサイズ) [ブラッディ]","Automation","코다 플레이 중 - 블러디 스트림 (TV 사이즈) [블러디]","Automation","Играет в Коду - КРОВОЙ ПОТОК (Размер ТВ) [Кровавый]","Automation","กําลังเล่นโค้ด - BLOODY STREAM (ขนาดทีวี) [Bloody]","Automation","Coda Oynama - BLOODY STREAM (TV Boyutu) [Kanlı]","Automation","正在播放Coda - BLOODY STREAM(電視大小)[血腥]","Automation","Grający Coda - BLOODY STREAM (rozmiar telewizora) [Krewny]","Automation"
,,"DECO*{number1} ",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongArtist","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","DECO* {number1}","Automation","デコ* {number1}","Automation","데코* {number1}","Automation","ДЕКО*{number1}","Automation","DECO* {number1}","Automation","DECO*{number1}","Automation","DECO* {number1}","Automation","DECO*{number1}","Automation"
,,"Hyper mapped by FrenZ",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Hyper map bởi FrenZ","Automation","Hyper dipetakan oleh FrenZ","Automation","Iper mappato da FrenZ","Automation","Hiper mapeado por FrenZ","Automation","Hiper mapeado por FrenZ","Automation","Hyper mappé par FrenZ","Automation","Hyper mapped von FrenZ","Automation","FrenZ  Hyper 映射","Automation","FrenZがハイパーマッピングしました","Automation","FrenZ에 의해 하이퍼 매핑되었습니다.","Automation","Гипер отображен FrenZ","Automation","ถูกทําแผนที่ Hyper โดย FrenZ","Automation","FrenZ tarafından hiper eşleştirildi","Automation","FrenZ 超級映射","Automation","Hyper mapowany przez FrenZ","Automation"
,,"mirei hayasaka",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerName","cô bé Mirei Hayasaka","Automation","mirei hayasaka","Automation","mirei hayasaka","Automation","mirei hayasaka","Automation","mirei hayasaka","Automation","mirei hayasaka","Automation","mirei hayasaka","Automation","米雷伊·哈亚萨卡","Automation","mirei hayasaka","Automation","미레이 하야사카","Automation","Миреи Хаясака","Automation","mirei hayasaka ","Automation","mirei hayasaka","Automation","米雷伊·哈亚萨卡","Automation","mirei hayasaka","Automation"
